Session_ID,Zone,Transformer_ID,EV_Type,Battery_Capacity_kWh,Arrival_SoC_perc,Target_SoC_perc,Energy_Requested_kWh,Charger_Type_kW,Plug_In_Time,Estimated_Plug_Out,Grid_Limit_Alert
SESS_03204,Koramangala,TX_KOR_001,2W,3.7,23.54,100,2.83,3.3,2026-05-04 07:51:00,2026-05-04 08:47:34,0
SESS_03488,Indiranagar,TX_IND_001,2W,3.7,30.7,100,2.56,3.3,2026-05-04 07:54:00,2026-05-04 08:45:16,0
SESS_01919,Whitefield,TX_WHI_003,2W,3.7,41.83,90,1.78,3.3,2026-05-04 07:55:00,2026-05-04 08:30:38,0
SESS_03939,Indiranagar,TX_IND_002,2W,4.0,22.28,100,3.11,3.3,2026-05-04 07:56:00,2026-05-04 08:58:10,0
SESS_01994,Electronic City,TX_ELE_002,2W,3.7,27.36,100,2.69,3.3,2026-05-04 07:58:00,2026-05-04 08:51:45,0
SESS_01519,Koramangala,TX_KOR_001,2W,4.0,38.47,100,2.46,3.3,2026-05-04 07:59:00,2026-05-04 08:48:13,0
SESS_02885,Koramangala,TX_KOR_002,2W,4.0,23.76,100,3.05,3.3,2026-05-04 07:59:00,2026-05-04 08:59:59,0
SESS_00273,Koramangala,TX_KOR_001,4W,60.0,33.62,100,39.83,50.0,2026-05-04 08:00:00,2026-05-04 08:52:34,0
SESS_02377,Electronic City,TX_ELE_001,2W,2.9,26.14,100,2.14,3.3,2026-05-04 08:03:00,2026-05-04 08:45:50,0
SESS_04101,Koramangala,TX_KOR_006,2W,2.9,35.18,90,1.59,3.3,2026-05-04 08:04:00,2026-05-04 08:35:47,0
SESS_03894,Whitefield,TX_WHI_001,Commercial,120.0,18.54,100,97.75,120.0,2026-05-04 08:04:00,2026-05-04 08:57:45,0
SESS_01910,Whitefield,TX_WHI_001,2W,3.7,15.71,100,3.12,3.3,2026-05-04 08:04:00,2026-05-04 09:06:22,0
SESS_02988,Whitefield,TX_WHI_002,4W,30.0,24.56,100,22.63,7.2,2026-05-04 08:05:00,2026-05-04 11:32:28,0
SESS_01731,Whitefield,TX_WHI_005,4W,60.0,24.49,100,45.3,7.2,2026-05-04 08:07:00,2026-05-04 15:02:17,0
SESS_02770,Hebbal,TX_HEB_001,2W,3.7,24.59,100,2.79,3.3,2026-05-04 08:08:00,2026-05-04 09:03:48,0
SESS_02514,Koramangala,TX_KOR_007,2W,2.9,29.3,80,1.47,3.3,2026-05-04 08:08:00,2026-05-04 08:37:24,0
SESS_04335,Electronic City,TX_ELE_002,2W,2.9,28.43,80,1.5,3.3,2026-05-04 08:08:00,2026-05-04 08:37:54,0
SESS_00861,Indiranagar,TX_IND_007,2W,2.9,28.37,100,2.08,3.3,2026-05-04 08:08:00,2026-05-04 08:49:32,0
SESS_00252,Hebbal,TX_HEB_003,2W,2.9,30.12,100,2.03,3.3,2026-05-04 08:09:00,2026-05-04 08:49:31,0
SESS_04802,Indiranagar,TX_IND_008,2W,3.7,26.97,80,1.96,3.3,2026-05-04 08:10:00,2026-05-04 08:49:14,0
SESS_03630,Whitefield,TX_WHI_003,2W,3.7,32.68,90,2.12,3.3,2026-05-04 08:11:00,2026-05-04 08:53:24,0
SESS_00138,Whitefield,TX_WHI_005,4W,72.0,24.76,80,39.77,25.0,2026-05-04 08:11:00,2026-05-04 09:56:00,0
SESS_03138,Whitefield,TX_WHI_001,2W,3.7,5.99,90,3.11,3.3,2026-05-04 08:11:00,2026-05-04 09:13:10,0
SESS_04064,Electronic City,TX_ELE_001,Commercial,200.0,15.91,90,148.18,80.0,2026-05-04 08:11:00,2026-05-04 10:13:15,0
SESS_00830,Whitefield,TX_WHI_001,2W,2.9,40.9,100,1.71,3.3,2026-05-04 08:11:00,2026-05-04 08:45:16,0
SESS_00889,Indiranagar,TX_IND_007,2W,4.0,17.51,90,2.9,3.3,2026-05-04 08:11:00,2026-05-04 09:08:59,0
SESS_00982,Electronic City,TX_ELE_005,2W,2.9,5.0,100,2.76,3.3,2026-05-04 08:11:00,2026-05-04 09:06:06,0
SESS_01406,Whitefield,TX_WHI_003,4W,45.0,29.89,100,31.55,7.2,2026-05-04 08:12:00,2026-05-04 13:01:11,0
SESS_04314,Indiranagar,TX_IND_007,2W,4.0,9.19,100,3.63,3.3,2026-05-04 08:14:00,2026-05-04 09:26:38,0
SESS_01128,Hebbal,TX_HEB_007,4W,45.0,20.16,100,35.93,25.0,2026-05-04 08:14:00,2026-05-04 09:48:51,0
SESS_04110,Electronic City,TX_ELE_002,2W,4.0,37.3,100,2.51,3.3,2026-05-04 08:16:00,2026-05-04 09:06:09,0
SESS_00255,Koramangala,TX_KOR_001,2W,2.9,17.31,100,2.4,3.3,2026-05-04 08:17:00,2026-05-04 09:04:57,0
SESS_04422,Indiranagar,TX_IND_002,2W,4.0,25.32,100,2.99,3.3,2026-05-04 08:17:00,2026-05-04 09:16:44,0
SESS_00277,Koramangala,TX_KOR_008,2W,4.0,25.6,100,2.98,3.3,2026-05-04 08:18:00,2026-05-04 09:17:31,0
SESS_04570,Koramangala,TX_KOR_006,2W,3.7,31.38,100,2.54,3.3,2026-05-04 08:18:00,2026-05-04 09:08:46,0
SESS_00254,Hebbal,TX_HEB_006,4W,45.0,24.67,90,29.4,7.2,2026-05-04 08:20:00,2026-05-04 12:49:29,0
SESS_02949,Hebbal,TX_HEB_007,2W,3.7,22.38,100,2.87,3.3,2026-05-04 08:20:00,2026-05-04 09:17:26,0
SESS_00489,Whitefield,TX_WHI_002,2W,4.0,16.88,90,2.92,3.3,2026-05-04 08:20:00,2026-05-04 09:18:29,0
SESS_02455,Whitefield,TX_WHI_002,2W,2.9,39.39,100,1.76,3.3,2026-05-04 08:20:00,2026-05-04 08:55:09,0
SESS_02723,Hebbal,TX_HEB_007,2W,2.9,28.1,90,1.8,3.3,2026-05-04 08:20:00,2026-05-04 08:55:54,0
SESS_04037,Electronic City,TX_ELE_005,2W,4.0,21.2,90,2.75,3.3,2026-05-04 08:21:00,2026-05-04 09:16:02,0
SESS_04814,Electronic City,TX_ELE_003,2W,2.9,33.47,100,1.93,3.3,2026-05-04 08:21:00,2026-05-04 08:59:35,0
SESS_02391,Electronic City,TX_ELE_005,2W,3.7,24.71,90,2.42,3.3,2026-05-04 08:21:00,2026-05-04 09:09:18,0
SESS_01117,Koramangala,TX_KOR_008,2W,4.0,22.98,100,3.08,3.3,2026-05-04 08:22:00,2026-05-04 09:23:37,0
SESS_02442,Hebbal,TX_HEB_003,2W,3.7,22.46,90,2.5,3.3,2026-05-04 08:24:00,2026-05-04 09:13:58,0
SESS_03223,Whitefield,TX_WHI_003,4W,60.0,32.18,100,40.69,25.0,2026-05-04 08:24:00,2026-05-04 10:11:26,0
SESS_02005,Indiranagar,TX_IND_002,2W,2.9,15.7,100,2.44,3.3,2026-05-04 08:26:00,2026-05-04 09:14:53,0
SESS_02914,Electronic City,TX_ELE_003,2W,2.9,22.65,100,2.24,3.3,2026-05-04 08:26:00,2026-05-04 09:10:51,0
SESS_02727,Indiranagar,TX_IND_007,4W,45.0,32.48,90,25.89,7.2,2026-05-04 08:27:00,2026-05-04 12:24:17,0
SESS_03602,Whitefield,TX_WHI_001,Commercial,80.0,19.36,100,64.51,120.0,2026-05-04 08:28:00,2026-05-04 09:03:28,0
SESS_02787,Indiranagar,TX_IND_008,2W,2.9,30.72,100,2.01,3.3,2026-05-04 08:28:00,2026-05-04 09:08:11,0
SESS_03029,Indiranagar,TX_IND_007,2W,4.0,24.24,100,3.03,3.3,2026-05-04 08:29:00,2026-05-04 09:29:36,0
SESS_03948,Indiranagar,TX_IND_002,2W,3.7,47.48,100,1.94,3.3,2026-05-04 08:29:00,2026-05-04 09:07:52,0
SESS_01949,Koramangala,TX_KOR_003,4W,72.0,38.21,100,44.49,25.0,2026-05-04 08:30:00,2026-05-04 10:27:26,0
SESS_00672,Hebbal,TX_HEB_005,2W,3.7,24.87,90,2.41,3.3,2026-05-04 08:30:00,2026-05-04 09:18:11,0
SESS_02366,Whitefield,TX_WHI_002,2W,4.0,39.32,90,2.03,3.3,2026-05-04 08:31:00,2026-05-04 09:11:32,0
SESS_04128,Hebbal,TX_HEB_007,2W,3.7,5.0,90,3.14,3.3,2026-05-04 08:33:00,2026-05-04 09:35:54,0
SESS_03539,Whitefield,TX_WHI_001,2W,2.9,13.98,90,2.2,3.3,2026-05-04 08:35:00,2026-05-04 09:19:05,0
SESS_00794,Koramangala,TX_KOR_003,2W,4.0,28.95,100,2.84,3.3,2026-05-04 08:35:00,2026-05-04 09:31:50,0
SESS_00017,Electronic City,TX_ELE_002,4W,30.0,23.54,80,16.94,7.2,2026-05-04 08:36:00,2026-05-04 11:11:16,0
SESS_03997,Indiranagar,TX_IND_002,2W,4.0,26.7,100,2.93,3.3,2026-05-04 08:36:00,2026-05-04 09:34:38,0
SESS_04436,Indiranagar,TX_IND_003,4W,30.0,36.53,100,19.04,7.2,2026-05-04 08:37:00,2026-05-04 11:31:32,0
SESS_03259,Electronic City,TX_ELE_004,2W,3.7,10.01,100,3.33,3.3,2026-05-04 08:39:00,2026-05-04 09:45:35,0
SESS_01760,Indiranagar,TX_IND_007,2W,3.7,33.58,100,2.46,3.3,2026-05-04 08:40:00,2026-05-04 09:29:08,0
SESS_01153,Whitefield,TX_WHI_005,4W,45.0,26.28,90,28.67,25.0,2026-05-04 08:40:00,2026-05-04 09:55:41,0
SESS_01156,Koramangala,TX_KOR_007,2W,4.0,23.11,100,3.08,3.3,2026-05-04 08:40:00,2026-05-04 09:41:30,0
SESS_03503,Koramangala,TX_KOR_008,4W,30.0,15.61,80,19.32,7.2,2026-05-04 08:41:00,2026-05-04 11:38:05,0
SESS_04384,Whitefield,TX_WHI_003,4W,45.0,32.58,90,25.84,7.2,2026-05-04 08:42:00,2026-05-04 12:38:51,0
SESS_01319,Indiranagar,TX_IND_002,2W,4.0,32.53,100,2.7,3.3,2026-05-04 08:42:00,2026-05-04 09:35:58,0
SESS_04500,Indiranagar,TX_IND_008,2W,2.9,24.72,80,1.6,3.3,2026-05-04 08:43:00,2026-05-04 09:15:03,0
SESS_02443,Koramangala,TX_KOR_007,2W,2.9,25.16,100,2.17,3.3,2026-05-04 08:44:00,2026-05-04 09:27:24,0
SESS_00456,Electronic City,TX_ELE_003,2W,3.7,26.18,100,2.73,3.3,2026-05-04 08:44:00,2026-05-04 09:38:37,0
SESS_01751,Electronic City,TX_ELE_005,2W,2.9,27.39,90,1.82,3.3,2026-05-04 08:44:00,2026-05-04 09:20:18,0
SESS_03301,Indiranagar,TX_IND_005,2W,2.9,39.23,90,1.47,3.3,2026-05-04 08:46:00,2026-05-04 09:15:26,0
SESS_03296,Whitefield,TX_WHI_002,2W,2.9,19.46,100,2.34,3.3,2026-05-04 08:46:00,2026-05-04 09:32:42,0
SESS_04687,Whitefield,TX_WHI_005,2W,3.7,34.72,90,2.05,3.3,2026-05-04 08:48:00,2026-05-04 09:28:54,0
SESS_01879,Koramangala,TX_KOR_001,2W,2.9,8.11,100,2.66,3.3,2026-05-04 08:50:00,2026-05-04 09:43:17,0
SESS_03250,Whitefield,TX_WHI_005,2W,2.9,5.0,80,2.17,3.3,2026-05-04 08:50:00,2026-05-04 09:33:30,0
SESS_00181,Indiranagar,TX_IND_008,Commercial,120.0,5.31,100,113.63,50.0,2026-05-04 08:51:00,2026-05-04 11:20:59,0
SESS_01749,Hebbal,TX_HEB_001,2W,4.0,48.4,90,1.66,3.3,2026-05-04 08:51:00,2026-05-04 09:24:16,0
SESS_01799,Electronic City,TX_ELE_001,2W,2.9,24.21,90,1.91,3.3,2026-05-04 08:51:00,2026-05-04 09:29:09,0
SESS_02393,Hebbal,TX_HEB_001,2W,4.0,24.88,80,2.2,3.3,2026-05-04 08:52:00,2026-05-04 09:36:05,0
SESS_01220,Indiranagar,TX_IND_001,2W,2.9,12.74,100,2.53,3.3,2026-05-04 08:55:00,2026-05-04 09:45:36,0
SESS_04841,Whitefield,TX_WHI_004,Commercial,120.0,12.17,80,81.39,50.0,2026-05-04 08:55:00,2026-05-04 10:42:26,0
SESS_03197,Whitefield,TX_WHI_003,2W,4.0,45.87,80,1.37,3.3,2026-05-04 08:55:00,2026-05-04 09:22:18,0
SESS_01336,Electronic City,TX_ELE_005,2W,3.7,10.91,100,3.3,3.3,2026-05-04 08:55:00,2026-05-04 10:00:55,0
SESS_04157,Whitefield,TX_WHI_001,4W,30.0,5.0,100,28.5,7.2,2026-05-04 08:57:00,2026-05-04 13:18:15,0
SESS_04791,Whitefield,TX_WHI_004,2W,3.7,17.58,90,2.68,3.3,2026-05-04 08:57:00,2026-05-04 09:50:35,0
SESS_03032,Koramangala,TX_KOR_005,2W,3.7,5.0,80,2.78,3.3,2026-05-04 08:58:00,2026-05-04 09:53:30,0
SESS_01742,Whitefield,TX_WHI_003,2W,2.9,48.11,90,1.21,3.3,2026-05-04 08:58:00,2026-05-04 09:22:17,0
SESS_00501,Whitefield,TX_WHI_004,4W,60.0,25.11,100,44.94,7.2,2026-05-04 09:03:00,2026-05-04 15:54:54,0
SESS_04182,Electronic City,TX_ELE_001,2W,3.7,26.5,80,1.98,3.3,2026-05-04 09:03:00,2026-05-04 09:42:35,0
SESS_01592,Indiranagar,TX_IND_008,2W,2.9,32.18,100,1.97,3.3,2026-05-04 09:06:00,2026-05-04 09:45:20,0
SESS_01966,Whitefield,TX_WHI_004,2W,2.9,27.31,90,1.82,3.3,2026-05-04 09:06:00,2026-05-04 09:42:21,0
SESS_03113,Indiranagar,TX_IND_006,2W,3.7,25.11,80,2.03,3.3,2026-05-04 09:07:00,2026-05-04 09:47:36,0
SESS_00611,Hebbal,TX_HEB_002,4W,45.0,14.24,100,38.59,7.2,2026-05-04 09:07:00,2026-05-04 15:00:45,0
SESS_03272,Whitefield,TX_WHI_001,2W,3.7,33.73,100,2.45,3.3,2026-05-04 09:08:00,2026-05-04 09:57:02,0
SESS_03108,Whitefield,TX_WHI_002,2W,2.9,54.12,100,1.33,3.3,2026-05-04 09:12:00,2026-05-04 09:38:36,0
SESS_04985,Indiranagar,TX_IND_001,2W,4.0,34.31,100,2.63,3.3,2026-05-04 09:13:00,2026-05-04 10:05:33,0
SESS_02795,Electronic City,TX_ELE_003,4W,72.0,31.41,100,49.38,7.2,2026-05-04 09:13:00,2026-05-04 16:45:41,0
SESS_00770,Electronic City,TX_ELE_002,Commercial,80.0,36.26,90,42.99,120.0,2026-05-04 09:13:00,2026-05-04 09:36:38,0
SESS_01687,Indiranagar,TX_IND_001,2W,4.0,39.18,80,1.63,3.3,2026-05-04 09:13:00,2026-05-04 09:45:39,0
SESS_04759,Whitefield,TX_WHI_004,2W,3.7,18.41,90,2.65,3.3,2026-05-04 09:13:00,2026-05-04 10:05:58,0
SESS_02543,Whitefield,TX_WHI_001,2W,3.7,36.71,100,2.34,3.3,2026-05-04 09:15:00,2026-05-04 10:01:50,0
SESS_00374,Electronic City,TX_ELE_005,2W,2.9,36.18,100,1.85,3.3,2026-05-04 09:17:00,2026-05-04 09:54:00,0
SESS_00070,Hebbal,TX_HEB_004,2W,2.9,9.39,90,2.34,3.3,2026-05-04 09:17:00,2026-05-04 10:03:45,0
SESS_04886,Whitefield,TX_WHI_004,2W,3.7,36.11,80,1.62,3.3,2026-05-04 09:20:00,2026-05-04 09:52:28,0
SESS_04282,Hebbal,TX_HEB_005,2W,2.9,25.84,90,1.86,3.3,2026-05-04 09:21:00,2026-05-04 09:58:12,0
SESS_02055,Koramangala,TX_KOR_003,4W,45.0,24.79,100,33.84,7.2,2026-05-04 09:21:00,2026-05-04 14:31:14,0
SESS_01388,Koramangala,TX_KOR_001,2W,4.0,28.81,100,2.85,3.3,2026-05-04 09:21:00,2026-05-04 10:17:57,0
SESS_00694,Electronic City,TX_ELE_004,2W,4.0,9.01,100,3.64,3.3,2026-05-04 09:22:00,2026-05-04 10:34:47,0
SESS_04565,Electronic City,TX_ELE_002,2W,3.7,31.11,90,2.18,3.3,2026-05-04 09:22:00,2026-05-04 10:05:34,0
SESS_02613,Hebbal,TX_HEB_001,2W,2.9,17.94,90,2.09,3.3,2026-05-04 09:22:00,2026-05-04 10:03:47,0
SESS_03925,Hebbal,TX_HEB_002,2W,2.9,16.81,100,2.41,3.3,2026-05-04 09:23:00,2026-05-04 10:11:14,0
